,Merchant_String,Labels,Predictions,Confidence,CorrectPrediction
123,zaxby s #44901 z5814z,zaxbys,zaxbys,0.9548219382363385,1
124,uber eats bly6f z4121z,uber,uber,1.0,1
125,icing #3770 z5631z,icing,icing,0.7157738905467351,1
126,bp#1721299ck 2,bp,bp,0.6703133599144891,1
127,uber eats sp3tz,uber,uber,0.9999999999977831,1
128,dairy queen #11240 z5814z,dairyqueen,dairyqueen,0.9999999565256462,1
129,dollar general 1 1359 z531z,dollargeneral,dollargeneral,1.0,1
130,barnesnob 17111 hagger z5942z,barnesandnoble,barnesandnoble,0.9925018850833258,1
131,uber trip eqvls,uber,uber,0.9999999999925802,1
132,meijer # 253 7157 e sa z5411z,meijer,atm,0.48741446815481415,0
133,100 21st st z6011z,atm,atm,0.9999999996510525,1
134,dollar ge 7943 baltimo z531z,dollargeneral,dollargeneral,0.999999999785345,1
135,sonic drive in #1608 z5814z,sonic,sonic,1.0,1
136,target t 2265 z531z,target,target,0.9999999941041793,1
137,cvs pharm 02445 225 w z5912z,cvs,cvs,0.9999999998289297,1
138,mcdonald s f22708 z5814z,mcdonalds,mcdonalds,0.999999999533074,1
139,pizza hut 031387 z5812z,pizzahut,pizzahut,0.9999999321829686,1
140,books a million 134 z5942z,booksamillion,booksamillion,0.9999999992858193,1
141,uber trip xiyvi z4121z,uber,uber,1.0,1
142,paypal meagannw z4812z,paypal,paypal,0.9999249045364198,1
143,kitchens of the bay st z5814z,heb,atm,0.9898117711649927,0
144,best buy express #8184 z5732z,bestbuy,bestbuy,0.9999999626846694,1
145,dollar ge 2602 manches z531z,dollargeneral,dollargeneral,0.9999999999747899,1
146,uber eats fdac4 z4121z,uber,uber,1.0,1
147,wholefds stn 103 690 s z5411z,wholefoods,wholefoods,0.9977655831983101,1
148,qt 1052 z5541z,quiktrip,quiktrip,0.9460113999789266,1
149,uber eats s64v5 z4121z,uber,uber,1.0,1
150,meijer # 123 16300 for z5411z,meijer,target,0.6261305365461958,0
151,target t 1440 central z5411z,target,target,0.9999999994766995,1
152,uber eats a3bid,uber,uber,0.9999999999977831,1
153,mcdonald s f33348 z5814z,mcdonalds,mcdonalds,0.999999999533074,1
154,1401 e ma in st z6011z,atm,atm,0.9999999999434408,1
155,panera bread #203429 z5812z,panerabread,panerabread,0.9999999967501836,1
156,starbucks store 17649 z5814z,starbucks,starbucks,0.9999999997664837,1
157,paypal rubyrx7 z8999z,paypal,paypal,0.9999941015563429,1
158,best buy 00005678,bestbuy,bestbuy,0.9999997076065626,1
159,dunkin #301287 q35 z5814z,dunkindonuts,dunkindonuts,0.9999999201664093,1
160,wendys #2655 z5814z,wendys,wendys,0.9682006471143418,1
161,five below 1150 z5331z,fivebelow,fivebelow,0.9999996017397248,1
162,rite aid store 6100 z5912z,riteaidpharmacy,riteaidpharmacy,0.999999999999929,1
163,dollar ge 134 old mill z531z,dollargeneral,dollargeneral,0.9999999999989342,1
164,paypal thehainproj bu z8999z,paypal,paypal,0.9999999261394193,1
165,big lots 6420 20th st,biglots,biglots,0.999999448325194,1
166,11821 rosecrans ave z6011z,atm,atm,0.9999999991673221,1
167,taco bell #28502 z5814z,tacobell,tacobell,0.9999999987956834,1
168,mcdonald s m3827 of tx z5814z,mcdonalds,mcdonalds,1.0,1
169,bp#924621694 & haggert z5541z,bp,bp,0.9956015436591333,1
170,cvs pharm 02336 709 e z5912z,cvs,cvs,0.999999998625853,1
171,coca cola hartford ct z5814z,cocacola,cocacola,0.9999582672896491,1
172,chipotle 0456 z5814z,chipotle,chipotle,0.9313368761812197,1
173,paypal zainalzuhai z8999z,paypal,paypal,0.9999941015563429,1
174,cvs pharm 02538 us hw z5912z,cvs,cvs,0.9999999993639932,1
175,taco bell #027348 z5814z,tacobell,tacobell,0.9999999998638884,1
176,marcos pizza 5056 z5812z,arco,arco,0.984070582620634,1
177,dunkin #300624 q35 z5814z,dunkindonuts,dunkindonuts,0.9999999201664093,1
178,mcdonald s m2978 of md z5814z,mcdonalds,mcdonalds,1.0,1
179,wendy s ripley z5814z,wendys,wendys,0.9999554636590456,1
180,target t 1204 z531z,target,target,0.9999999996696829,1
181,dollar tr 1324 w craig z5331z,dollartree,dollartree,0.9999999594304833,1
182,uber trip wf3an z4121z,uber,uber,1.0,1
183,wawa 5122 z5541z,wawa,wawa,0.9142887893061836,1
184,smoothie king #594 z5814z,smoothieking,smoothieking,0.994791051144747,1
185,starbucks store 23178 z5814z,starbucks,starbucks,0.9999999999962341,1
186,gamestop 495 prospect,gamestop,gamestop,0.9962471991140555,1
187,under armour bl z5655z,underarmour,underarmour,0.994588164746759,1
188,arco#05443 z5541z,arco,arco,0.9943661482148215,1
189,paddock park du atm z6011z,atm,atm,0.9999999905871562,1
190,meijer # 206 400 s ran z5411z,meijer,atm,0.552974612539322,0
191,domino s 5551 z5814z,dominos,dominos,0.999892757495826,1
192,4805 highway 81 south z6011z,atm,atm,0.9999999787052618,1
193,uber fzy4c z4121z,uber,uber,0.9999999681644601,1
194,uber trip fpram,uber,uber,0.9999999999925802,1
195,burger king #10481 z5814z,burgerking,burgerking,0.9999999927295882,1
196,wp 94 dunkin donuts z5814z,dunkindonuts,dunkindonuts,0.9999998900092979,1
197,food lion #0726 z5411z,foodlion,foodlion,0.9999956936577872,1
198,uber eats slafg,uber,uber,0.9999999999977831,1
199,safeway store 1230 z5411z,safeway,safeway,0.9999999327964866,1
200,uber trip 44m3x,uber,uber,0.9999999999985647,1
201,racetrac585 z5541z,racetrac,chevron,0.16545204222918433,0
202,taco bell #029030 z5814z,tacobell,tacobell,0.9999999987956834,1
203,cmsvend cv rocky z5814z,vendingmachine,vendingmachine,0.9997903097020836,1
204,starbucks store 17733 z5814z,starbucks,starbucks,0.9999999997664837,1
205,domino s 9804 z5814z,dominos,dominos,0.999892756250236,1
206,five below 483 z5331z,fivebelow,fivebelow,0.9999996135284911,1
207,uber eats yhgou z4121z,uber,uber,1.0,1
208,cinemark theatres 370 z7832z,cinemark,cinemark,0.9999983328912988,1
209,starbucks store 11820 z5814z,starbucks,starbucks,0.9999999997204299,1
210,target t 1366 z5411z,target,target,0.9999999970635542,1
211,7 eleven 23258 mukilteo waus z5541z,seveneleven,seveneleven,0.9999997673854737,1
212,dairy queen #10438 z5814z,dairyqueen,dairyqueen,0.9999999565256462,1
213,uber trip y5xru z4121z,uber,uber,1.0,1
214,wawa 5102 z5541z,wawa,wawa,0.9160428056731134,1
215,uber trip jirrp z4121z,uber,uber,1.0,1
216,walgreens store 680 e z5912z,walgreens,walgreens,0.999999999999531,1
217,barnes and nobl 15900 z5814z,barnesandnoble,barnesandnoble,0.9999999647733524,1
218,cvs pharm 05709 405 w z5912z,cvs,cvs,0.9999999984548822,1
219,circle k 05606 z5541z,circlek,circlek,0.9999999558983969,1
220,marshalls 2540 cumberl z5651z,marshalls,marshalls,0.9916261253664939,1
221,circle k 174 z5541z,circlek,circlek,0.9999999135978082,1
222,circle k # 23475 z5541z,circlek,circlek,0.9999999945811169,1
223,uber ok7bl,uber,uber,0.9998565168706554,1
224,chick fil a #03486 z5814z,chickfila,chickfila,1.0,1
225,uber trip bqfxo z4121z,uber,uber,1.0,1
226,arbys 0841,arbys,arbys,0.8467873218058619,1
227,racetrac 0266 z5541z,racetrac,racetrac,0.5796079215963053,1
228,albertsons store 3175,albertsons,albertsons,0.9988734751871363,1
229,petco 909 z5995z,petco,petco,0.9755337657523601,1
230,dollar general # 5757 z531z,dollargeneral,dollargeneral,0.9999999999550937,1
231,6753 thomasville rd z6011z,atm,atm,0.9999999997123865,1
232,citgo 19610011 citgo z5542z,citgo,citgo,0.999998140078158,1
233,462 genesee street z6011z,atm,atm,0.9999999981539887,1
234,6201 pulaski hwy z6011z,atm,atm,0.9999999976868139,1
235,applebees 8609 z5812z,applebees,applebees,0.8196753535974051,1
236,frank martz coach comp z4131z,kmart,uber,0.0912679397874078,0
237,circle k 05401 417 s d z5541z,circlek,circlek,0.9999962077705928,1
238,wendy s 0181 z5814z,wendys,wendys,0.9999587944735072,1
239,chevron alameda mini m z5541z,chevron,chevron,0.9999699713904276,1
240,paypal bw z5735z,paypal,paypal,0.999911286810142,1
241,uber trip 6s2yx,uber,uber,0.9999999999985647,1
242,hollister #458 z5691z,hollister,hollister,0.9901389208209779,1
243,meijer # 220 4222 char z5411z,meijer,meijer,0.33225383937205777,1
244,sonic #118 z5814z,sonic,sonic,0.9680442385638895,1
245,amc theatres online z7832z,amc,amc,0.9684516483086609,1
246,dollar general # 1225 z531z,dollargeneral,dollargeneral,0.9999999999364846,1
247,lyft ride thu 10pm z4121z,lyft,lyft,0.99999999999946,1
248,coldstone #1796 z5814z,coldstone,mcdonalds,0.42458199482218706,0
249,uber trip yraky,uber,uber,0.9999999999985647,1
250,gamestop 6600 topanga,gamestop,gamestop,0.9976203628934143,1
251,3412 crenshaw blvd z6011z,atm,atm,0.9999999996381206,1
252,grubhub newyorkpizzare z5812z,grubhub,grubhub,0.8756116559421109,1
253,uber trip vnyu6 z4121z,uber,uber,1.0,1
254,wal mart #3603 z5411z,walmart,walmart,0.9999999995291375,1
255,starbucks store 06789 z5814z,starbucks,starbucks,0.9999999997664837,1
256,popeye s #11646 z5814z,popeyes,popeyes,0.6318526288685383,1
257,burger king #6780 z5814z,burgerking,burgerking,0.9999999929551251,1
258,631 hyde park aven z6011z,atm,atm,0.9999999981483825,1
259,"quiktrip#1099 rd, z6011z",atm,atm,0.9999999999882903,1
260,177 hudson st z6011z,atm,atm,0.9999999992831619,1
261,paypal patrick11gu z8999z,paypal,paypal,0.9999941015563429,1
262,taco bell #028560 z5814z,tacobell,tacobell,0.9999999987956834,1
263,starbucks store 06940 z5814z,starbucks,starbucks,0.9999999997664837,1
264,dollar general # 16924 z531z,dollargeneral,dollargeneral,0.9999999999669527,1
265,1225 w craig road z6011z,atm,atm,0.9999999999980389,1
266,uber eats eqwak,uber,uber,0.9999999999977831,1
267,uber trip ydcwd z4121z,uber,uber,1.0,1
268,rite aid store 4067 z5912z,riteaidpharmacy,riteaidpharmacy,0.999999999999929,1
269,rite aid store 0802 z5912z,riteaidpharmacy,riteaidpharmacy,0.999999999999929,1
270,473 great clips at smo z723z,greatclips,greatclips,0.9999999999823501,1
271,7 eleven 34802 z5541z,seveneleven,seveneleven,0.9999990013156661,1
272,uber eats voasp z4121z,uber,uber,0.9999999999999964,1
273,gratiot metro z6011z,atm,atm,0.9998399599750631,1
274,cvs pharm 00212 681 r z5912z,cvs,cvs,0.9999999992135713,1
275,sunoco 00118398,sunoco,sunoco,0.8809175551541698,1
276,jack in the box 0775 z5814z,jackinthebox,jackinthebox,1.0,1
277,chipotle 2089 z5814z,chipotle,chipotle,0.995934779142527,1
278,uber trip t3ed2 z4121z,uber,uber,1.0,1
279,mcdonald s f25124 z5814z,mcdonalds,mcdonalds,0.999999999533074,1
280,dollar general # 823 m z531z,dollargeneral,dollargeneral,0.9999999999995879,1
281,walgreens store 12002 z5912z,walgreens,walgreens,0.999999994773102,1
282,paypal vangk0411 z5999z,paypal,paypal,0.9999816171537836,1
283,heb #230 z5411z,heb,heb,0.6076294482663026,1
284,chevron tommy brooks o z5541z,chevron,chevron,0.9993637731993008,1
285,2425 ludington st z6011z,atm,atm,0.9999999999929372,1
286,dollar ge 118 kents ri z531z,dollargeneral,dollargeneral,0.9999999999990337,1
287,jamba juice #603 z5814z,jambajuice,jambajuice,0.9999535350214218,1
288,mcdonald s f25077 z5814z,mcdonalds,mcdonalds,0.999999999533074,1
289,starbucks store 09269 z5814z,starbucks,starbucks,0.9999999997664837,1
290,hanco on smith street z5812z,smiths,atm,0.9995788713576327,0
291,family dollar #10854 z5331z,familydollar,familydollar,0.9999677422231327,1
292,wendy s #15 z5814z,wendys,wendys,0.999990451267153,1
293,tillys #229 z5399z,tillys,tillys,0.8575153443311837,1
294,uber eats sdkni,uber,uber,0.9999999999977831,1
295,mcdonald s f23895 z5814z,mcdonalds,mcdonalds,0.999999999533074,1
296,best buy #1889 z5732z,bestbuy,bestbuy,0.999999010437356,1
297,racetrac0146 z5541z,racetrac,chevron,0.16721284696322877,0
298,uber trip j6yez z4121z,uber,uber,1.0,1
299,francesca s b78 z5631z,francescas,francescas,0.9988552132679707,1
300,starbucks store 11392 z5814z,starbucks,starbucks,0.9999999997664837,1
301,7th heaven bp z5541z,bp,bp,0.999814997989224,1
302,rue21 2720 renaiss z5621z,rue21,rue21,0.9913321321498412,1
303,kroger good man roa,kroger,kroger,0.9996733258536252,1
304,citgo gm food ma z5541z,citgo,citgo,0.9987720164911706,1
305,152 state route 94 z6011z,atm,atm,0.9999999024703689,1
306,old navy us 5949 z5651z,oldnavy,oldnavy,0.9999999999998153,1
307,uber trip wawb2 z4121z,uber,uber,1.0,1
308,uber eats ja5qb z4121z,uber,uber,1.0,1
309,giant 0329 z5411z,giant,giant,0.6853886107388165,1
310,uber trip 5vsze z4121z,uber,uber,1.0,1
311,aramark u of chicago m z5814z,aramark,mcdonalds,0.536191637861552,0
312,starbucks store 10977 z5814z,starbucks,starbucks,0.9999999997664837,1
313,3801 e broad st z6011z,atm,atm,0.999999999999929,1
314,uber mjw2v,uber,uber,0.9995686173320644,1
315,2000 n franklin st z6011z,atm,atm,0.9999999999962625,1
316,mcdonald s f18555 z5814z,mcdonalds,mcdonalds,0.999999999533074,1
317,uber trip zlbba,uber,uber,0.9999999999925802,1
318,family dollar #10293 z5331z,familydollar,familydollar,0.9999677422231327,1
319,goodwill derry ret z5931z,goodwill,goodwill,0.9831326374765547,1
320,dunkin #303307 q35 z5814z,dunkindonuts,dunkindonuts,0.9999999201664093,1
321,uber trip op666 z4121z,uber,uber,1.0,1
322,pizza hut 026201 z5812z,pizzahut,pizzahut,0.9999999321829686,1
323,hudsonnews st1192,hudsonnews,hudsonnews,0.4065678991782979,1
324,google xavier liard z5734z,googleplay,paypal,0.6208733483499286,0
325,6115 central avenu z6011z,atm,atm,0.9999999184804442,1
326,kohls 120 19600 cochra z5311z,kohls,kohls,0.9976067919346254,1
327,m&t 3500 main st z6011z,atm,atm,1.0,1
328,uber trip zwl4f z4121z,uber,uber,1.0,1
329,uber eats gistd,uber,uber,0.9999999999977831,1
330,cmsvend cv jacks z5814z,vendingmachine,vendingmachine,0.9999516798258341,1
331,family dollar #6589 z5331z,familydollar,familydollar,0.9999688089266455,1
332,9150 baltimore nationa z6011z,atm,atm,0.9999821732299808,1
333,walgreens store 7400 c z5912z,walgreens,walgreens,0.999999999994273,1
334,etsy com slimesbychl z5699z,etsy,etsy,0.9999975672119097,1
335,mcdonald s f3774 z5814z,mcdonalds,mcdonalds,0.999999999533074,1
336,aeropostale #1120 z5691z,aeropostale,aeropostale,0.9793224370641689,1
337,cvs pharm 02152 66th z5912z,cvs,cvs,0.9999999997426059,1
338,microsoft xbox z4816z,microsoft,microsoft,0.9999939363956776,1
339,dollar tr 4361 nw blit z5331z,dollartree,dollartree,0.9999999771422099,1
340,mcdonald s m5992 of hi z5814z,mcdonalds,mcdonalds,1.0,1
341,nyctaxi5k53 z4121z,nyctaxi,uber,0.9986267432923078,0
342,panda express #2381 z5814z,pandaexpress,pandaexpress,0.9999643030438897,1
343,wal mart #3255 z5411z,walmart,walmart,0.9999999994880753,1
344,dollar ge 2704 us high z531z,dollargeneral,dollargeneral,0.9999999999999574,1
345,wholefds wdl #10 z5411z,dsw,wholefoods,0.9976710245254385,0
346,uber trip 2pa5e,uber,uber,0.9999999999985647,1
347,chipotle 0231 z5814z,chipotle,chipotle,0.9286676221833433,1
348,chipotle 1361 z5814z,chipotle,chipotle,0.9202261482574516,1
349,uber trip 3emam,uber,uber,0.9999999999985647,1
350,victoria s secret 1284 z5621z,victoriassecret,victoriassecret,0.9999999999999716,1
351,victoria s secret 0211,victoriassecret,victoriassecret,0.9999999999996447,1
352,whataburger 1105 z5814z,whataburger,whataburger,0.5073626750421214,1
353,old navy us 5049 z5651z,oldnavy,oldnavy,0.9999999999998153,1
354,buddy citgo z5541z,citgo,citgo,0.999915285362851,1
355,michaels stores inc874 z597z,michaels,michaels,0.9999999820110262,1
356,dollar ge 200 s main s z531z,dollargeneral,dollargeneral,1.0,1
357,union market,unionmarket,atm,0.9866240875274259,0
358,mcdonald s f3010 z5814z,mcdonalds,mcdonalds,0.999999999533074,1
359,kroger #142 z5411z,kroger,kroger,0.9938148938257922,1
360,uber eats gpzy2,uber,uber,0.9999999999977831,1
361,petsmart # 0534 z5995z,petsmart,petsmart,0.9881986750510401,1
362,uber trip zvci2,uber,uber,0.9999999999985647,1
363,bath & body works 3149 z5999z,bathandbodyworks,bathandbodyworks,0.9999999999935056,1
364,samsclub #6261 z53z,samsclub,samsclub,0.9150554704535121,1
365,cvs pharm 09841 1695 z5912z,cvs,cvs,0.9999999997437001,1
366,uber eats 4tvco z4121z,uber,uber,1.0,1
367,walgreens store 1155 f z5912z,walgreens,walgreens,0.9999999999987352,1
368,tillys #153 z5399z,tillys,tillys,0.7189067884690734,1
369,target t 403 constant z531z,target,target,0.9999999801335095,1
370,3320 south cicero aven z6011z,atm,atm,0.999999996572221,1
371,uber trip yyqon,uber,uber,0.9999999999985647,1
372,sonic drive in #5048 z5814z,sonic,sonic,1.0,1
373,mcdonald s f27507 z5814z,mcdonalds,mcdonalds,0.999999999533074,1
374,6658 s western ave z6011z,atm,atm,1.0,1
375,dollar tr 129 n harris z5331z,dollartree,dollartree,0.999999998203208,1
376,five guys #1566 z5814z,fiveguys,fiveguys,0.9999364521088592,1
377,uber eats pjoh2 z4121z,uber,uber,1.0,1
378,chili s edison z5812z,chilis,chilis,0.9720755467100926,1
379,uber eats dxvdx,uber,uber,0.9999999999977831,1
380,gamestop 470 lewis av z7993z,gamestop,gamestop,0.9999999396985135,1
381,starbucks store 08432 z5814z,starbucks,starbucks,0.9999999997664837,1
382,google sherwin,googleplay,uber,0.1595956776922438,0
383,paypal avxry llc z7994z,paypal,paypal,0.9999993871108077,1
384,uber eats mlyro,uber,uber,0.999999999988642,1
385,bath & body works 4215 z5999z,bathandbodyworks,bathandbodyworks,0.9999999999935199,1
386,dollar ge hwy 442 z531z,dollargeneral,dollargeneral,1.0,1
387,whataburger 762 z5814z,whataburger,whataburger,0.5239917634768261,1
388,mcdonald s f16552 z5814z,mcdonalds,mcdonalds,0.999999999533074,1
389,paypal neal13c z8999z,paypal,paypal,0.9999941015563429,1
390,chevron gas n dash z5541z,chevron,chevron,0.9998823477080159,1
391,francesca s b252 z5631z,francescas,francescas,0.9988552132679707,1
392,760 grand concours z6011z,atm,atm,0.9999974556888669,1
393,uber q3hnm,uber,uber,0.9998565168706554,1
394,kroger fu 1732 w hwy 1 z5541z,kroger,kroger,0.9997697319221152,1
395,winn dixie #05 2533,winndixie,winndixie,0.99999844376828,1
396,sunoco 0692371800 z5542z,sunoco,sunoco,0.9924002185576334,1
397,citgo m & a petr z5541z,citgo,citgo,0.9977054228789959,1
398,waffle house 1177 z5812z,wafflehouse,wafflehouse,0.9999992510730669,1
399,mcdonald s m5651 of ca z5814z,mcdonalds,mcdonalds,1.0,1
400,caseys gen store 1825 z5542z,caseys,caseys,0.9999999999934772,1
